allocation_group,allocation_group_quality,dc_start,allocated_units,dc_remaining,rows_in_group,eligible_rows_in_group,cycles_run,partial_used,over_allocated,stop_reason,trace_truncated
1870613,item,308.0,48.0,260.0,12,12,9,False,False,best score below threshold (0.102 < 0.400),False
1870617,item,66.0,0.0,66.0,5,5,1,False,False,best score below threshold (0.011 < 0.400),False
1870623,item,822.0,30.0,792.0,5,5,6,False,False,best score below threshold (0.000 < 0.400),False
1916199,item,230.0,12.0,218.0,3,3,5,False,False,best score below threshold (0.012 < 0.400),False
1921452,item,80.0,20.0,60.0,10,10,11,False,False,best score below threshold (0.000 < 0.400),False
1921455,item,91.0,20.0,71.0,6,6,6,False,False,best score below threshold (0.009 < 0.400),False
1921456,item,48.0,12.0,36.0,3,3,4,False,False,best score below threshold (0.000 < 0.400),False
1922786,item,636.0,12.0,624.0,3,3,4,False,False,best score below threshold (0.000 < 0.400),False
1922787,item,603.0,16.0,587.0,4,4,5,False,False,best score below threshold (0.000 < 0.400),False
1489733,item,1432.0,91.0,1341.0,42,42,92,False,False,best score below threshold (0.142 < 0.400),False
1519389,item,259.0,104.0,155.0,38,38,53,False,False,best score below threshold (0.265 < 0.400),False
1619048,item,1283.0,63.0,1220.0,22,22,64,False,False,best score below threshold (0.370 < 0.400),False
1665665,item,1982.0,130.0,1852.0,47,47,131,False,False,best score below threshold (0.368 < 0.400),False
1712702,item,1192.0,78.0,1114.0,36,36,79,False,False,best score below threshold (0.225 < 0.400),False
1712703,item,226.0,90.0,136.0,53,53,91,False,False,best score below threshold (0.241 < 0.400),False
1773610,item,208.0,64.0,144.0,35,35,65,False,False,best score below threshold (0.395 < 0.400),False
1850704,item,309.0,35.0,274.0,32,32,36,False,False,best score below threshold (0.036 < 0.400),False
1850705,item,259.0,59.0,200.0,36,36,60,False,False,best score below threshold (0.299 < 0.400),False
1909040,item,889.0,67.0,822.0,31,31,68,False,False,best score below threshold (0.289 < 0.400),False
1993152,item,137.0,29.0,108.0,8,8,30,False,False,best score below threshold (0.124 < 0.400),False
1988139,item,96.0,16.0,80.0,8,8,17,False,False,best score below threshold (0.007 < 0.400),False
1275943,item,118.0,8.0,110.0,3,3,5,False,False,best score below threshold (0.001 < 0.400),False
1413058,item,142.0,30.0,112.0,5,5,6,False,False,best score below threshold (0.009 < 0.400),False
1519756,item,477.0,78.0,399.0,13,13,14,False,False,best score below threshold (0.000 < 0.400),False
1556715,item,704.0,201.0,503.0,71,71,202,False,False,best score below threshold (0.356 < 0.400),False
1665765,item,348.0,122.0,226.0,76,76,123,False,False,best score below threshold (0.399 < 0.400),False
1665766,item,657.0,364.0,293.0,95,95,183,False,False,best score below threshold (0.371 < 0.400),False
1797235,item,794.0,376.0,418.0,77,77,95,False,False,best score below threshold (0.338 < 0.400),False
1797236,item,591.0,345.0,246.0,79,79,116,False,False,best score below threshold (0.290 < 0.400),False
